Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,int_rate,FICO.Score,annual_inc,home_ownership
7000,6875.0,10.00%,36,home_improvement,1.68,CO,RENT,2375.0,745-749,3.0,922.0,0.0,< 1 year,10.0,745,28500.0,3
6000,6000.0,17.77%,36,credit_card,32.76,MI,OWN,1666.67,665-669,12.0,15055.0,2.0,< 1 year,17.77,665,20000.04,2
20000,20000.0,12.69%,60,debt_consolidation,17.96,RI,MORTGAGE,4500.0,735-739,13.0,22946.0,1.0,10+ years,12.69,735,54000.0,0
7000,7000.0,12.12%,36,debt_consolidation,31.79,SC,MORTGAGE,3916.67,695-699,9.0,11648.0,3.0,10+ years,12.12,695,47000.04,0
1500,1500.0,12.12%,36,other,15.37,CA,RENT,3625.0,695-699,9.0,11346.0,1.0,5 years,12.12,695,43500.0,3
35000,35000.0,18.49%,36,debt_consolidation,16.33,NY,RENT,11000.0,705-709,15.0,13766.0,1.0,n/a,18.49,705,132000.0,3
20000,20000.0,18.25%,60,credit_card,12.9,PA,OWN,6666.67,695-699,17.0,8039.0,1.0,6 years,18.25,695,80000.04,2
21000,21000.0,14.27%,60,debt_consolidation,11.27,GA,MORTGAGE,5333.33,710-714,8.0,19431.0,0.0,8 years,14.27,710,63999.96,0
12500,12475.0,6.03%,36,car,14.82,FL,RENT,4944.92,755-759,11.0,6014.0,0.0,2 years,6.03,755,59339.04,3
25000,2125.0,15.01%,36,debt_consolidation,24.59,GA,MORTGAGE,15416.67,695-699,24.0,245886.0,7.0,2 years,15.01,695,185000.04,0
9600,9600.0,14.46%,60,debt_consolidation,10.27,DE,RENT,5500.0,680-684,8.0,8359.0,2.0,3 years,14.46,680,66000.0,3
8100,8100.0,13.85%,36,debt_consolidation,17.63,FL,RENT,4600.0,675-679,9.0,2963.0,0.0,3 years,13.85,675,55200.0,3
15000,15000.0,14.65%,36,debt_consolidation,20.07,MI,MORTGAGE,3666.67,690-694,11.0,13843.0,1.0,5 years,14.65,690,44000.04,0
15000,14950.0,16.32%,60,debt_consolidation,7.53,MA,MORTGAGE,14000.0,685-689,14.0,5469.0,4.0,5 years,16.32,685,168000.0,0
11000,11000.0,11.14%,36,debt_consolidation,16.57,NJ,MORTGAGE,5000.0,695-699,17.0,8734.0,0.0,3 years,11.14,695,60000.0,0
9600,9600.0,14.17%,36,credit_card,18.61,NY,OWN,5416.67,670-674,21.0,16278.0,1.0,8 years,14.17,670,65000.04,2
25000,25000.0,13.11%,36,debt_consolidation,18.52,CA,RENT,5000.0,775-779,11.0,4345.0,3.0,2 years,13.11,775,60000.0,3
14550,14550.0,13.11%,36,debt_consolidation,21.34,WA,MORTGAGE,4583.33,685-689,7.0,20141.0,0.0,10+ years,13.11,685,54999.96,0
10000,10000.0,10.74%,36,debt_consolidation,17.88,CA,RENT,2500.0,700-704,6.0,11120.0,0.0,3 years,10.74,700,30000.0,3
24000,24000.0,11.14%,60,debt_consolidation,20.98,DC,OWN,8000.0,705-709,9.0,20247.0,0.0,2 years,11.14,705,96000.0,2
20000,19950.0,10.65%,60,debt_consolidation,24.02,KS,OWN,5200.0,745-749,11.0,15709.0,0.0,10+ years,10.65,745,62400.0,2
25000,24975.0,11.49%,36,credit_card,11.78,CA,MORTGAGE,25000.0,725-729,14.0,37719.0,0.0,7 years,11.49,725,300000.0,0
7200,7200.0,17.77%,36,home_improvement,2.18,NC,MORTGAGE,3250.0,670-674,4.0,1301.0,1.0,4 years,17.77,670,39000.0,0
5000,5000.0,14.33%,36,debt_consolidation,11.12,FL,RENT,2916.67,675-679,5.0,4114.0,0.0,10+ years,14.33,675,35000.04,3
20000,19975.0,16.49%,60,debt_consolidation,16.16,MN,MORTGAGE,5000.0,710-714,13.0,20337.0,3.0,10+ years,16.49,710,60000.0,0
5600,5600.0,7.91%,36,major_purchase,20.21,CA,RENT,3166.67,730-734,12.0,32987.0,0.0,6 years,7.91,730,38000.04,3
20000,20000.0,7.90%,36,credit_card,1.3,IL,RENT,10400.0,750-754,5.0,6969.0,0.0,1 year,7.9,750,124800.0,3
6000,6000.0,8.90%,36,other,17.16,NY,MORTGAGE,12500.0,715-719,12.0,60368.0,2.0,< 1 year,8.9,715,150000.0,0
3200,3200.0,17.49%,60,debt_consolidation,7.9,CA,RENT,2609.0,670-674,9.0,5382.0,0.0,3 years,17.49,670,31308.0,3
24375,24375.0,14.09%,36,credit_card,26.36,MT,MORTGAGE,4583.33,710-714,11.0,27379.0,3.0,4 years,14.09,710,54999.96,0
25225,25225.0,12.12%,36,debt_consolidation,30.77,CA,MORTGAGE,6500.0,715-719,8.0,11736.0,0.0,10+ years,12.12,715,78000.0,0
20000,19900.0,15.95%,60,debt_consolidation,12.2,VA,MORTGAGE,6666.67,700-704,12.0,20744.0,1.0,5 years,15.95,700,80000.04,0
30225,30225.0,17.77%,36,credit_card,28.15,TX,MORTGAGE,8333.33,710-714,21.0,28631.0,0.0,10+ years,17.77,710,99999.96,0
7000,7000.0,7.40%,36,credit_card,8.89,AZ,MORTGAGE,3352.0,770-774,14.0,14014.0,2.0,< 1 year,7.4,770,40224.0,0
35000,14869.55,15.65%,60,home_improvement,26.19,FL,MORTGAGE,6308.75,735-739,14.0,34883.0,0.0,10+ years,15.65,735,75705.0,0
7575,7575.0,9.76%,36,debt_consolidation,10.99,TX,RENT,2375.0,725-729,3.0,5640.0,0.0,3 years,9.76,725,28500.0,3
15000,15000.0,13.11%,36,other,16.55,PA,RENT,4166.67,695-699,11.0,9066.0,0.0,2 years,13.11,695,50000.04,3
24000,24000.0,15.81%,60,small_business,0.62,NY,OWN,10000.0,725-729,8.0,0.0,3.0,10+ years,15.81,725,120000.0,2
19800,19775.0,15.31%,60,debt_consolidation,15.03,IL,MORTGAGE,6666.67,675-679,10.0,46879.0,3.0,6 years,15.31,675,80000.04,0
9250,6475.0,10.75%,60,small_business,3.41,CA,MORTGAGE,8500.0,755-759,6.0,105060.0,0.0,4 years,10.75,755,102000.0,0
6000,6000.0,15.96%,36,debt_consolidation,6.38,NC,MORTGAGE,6916.67,660-664,7.0,6309.0,1.0,6 years,15.96,660,83000.04,0
3500,3500.0,15.31%,36,other,7.14,NY,RENT,5000.0,685-689,2.0,14064.0,0.0,1 year,15.31,685,60000.0,3
7200,5675.0,14.82%,36,debt_consolidation,9.67,CA,RENT,4500.0,645-649,7.0,6572.0,1.0,6 years,14.82,645,54000.0,3
12000,12000.0,6.03%,36,medical,22.57,MT,MORTGAGE,7500.0,760-764,8.0,5116.0,0.0,10+ years,6.03,760,90000.0,0
20000,20000.0,7.90%,36,credit_card,13.59,CA,RENT,7258.33,730-734,5.0,14268.0,0.0,9 years,7.9,730,87099.96,3
3900,3900.0,12.12%,36,debt_consolidation,7.55,HI,MORTGAGE,2583.33,685-689,8.0,3724.0,0.0,1 year,12.12,685,30999.96,0
16000,16000.0,19.22%,60,credit_card,21.28,NC,RENT,3416.67,680-684,8.0,26060.0,1.0,10+ years,19.22,680,41000.04,3
15000,15000.0,15.99%,36,other,11.34,SC,MORTGAGE,8583.33,675-679,6.0,3844.0,2.0,7 years,15.99,675,102999.96,0
28200,28200.0,20.50%,60,debt_consolidation,15.6,NY,MORTGAGE,4833.33,695-699,18.0,27158.0,0.0,9 years,20.5,695,57999.96,0
15000,14975.0,13.49%,36,small_business,3.44,AK,RENT,6666.67,705-709,3.0,2698.0,0.0,< 1 year,13.49,705,80000.04,3
7400,7400.0,13.99%,36,other,20.52,NY,RENT,4166.25,675-679,17.0,6653.0,1.0,n/a,13.99,675,49995.0,3
15000,15000.0,10.59%,36,debt_consolidation,14.66,MA,RENT,5150.0,730-734,9.0,5116.0,2.0,2 years,10.59,730,61800.0,3
4500,4500.0,5.99%,36,debt_consolidation,21.46,NY,RENT,3644.83,765-769,8.0,1058.0,2.0,< 1 year,5.99,765,43737.96,3
3000,3000.0,14.09%,36,debt_consolidation,12.36,NC,RENT,4789.33,680-684,9.0,1353.0,2.0,10+ years,14.09,680,57471.96,3
9000,9000.0,14.27%,36,debt_consolidation,18.74,TX,RENT,5833.33,675-679,13.0,11637.0,3.0,8 years,14.27,675,69999.96,3
4000,4000.0,8.90%,36,credit_card,24.11,FL,RENT,4583.33,705-709,17.0,11351.0,0.0,1 year,8.9,705,54999.96,3
10000,10000.0,17.27%,36,credit_card,21.84,MI,MORTGAGE,2916.67,665-669,18.0,21245.0,0.0,10+ years,17.27,665,35000.04,0
6400,6400.0,15.99%,60,debt_consolidation,24.43,NY,RENT,3500.0,690-694,9.0,973.0,0.0,4 years,15.99,690,42000.0,3
4325,4325.0,10.16%,36,debt_consolidation,1.79,GA,MORTGAGE,11000.0,715-719,9.0,75.0,3.0,n/a,10.16,715,132000.0,0
12000,12000.0,13.11%,36,debt_consolidation,17.04,WA,MORTGAGE,4583.33,695-699,9.0,41871.0,0.0,3 years,13.11,695,54999.96,0
10000,10000.0,15.31%,36,debt_consolidation,10.4,CA,RENT,9000.0,665-669,12.0,5141.0,0.0,10+ years,15.31,665,108000.0,3
12000,12000.0,10.16%,36,home_improvement,8.05,MA,MORTGAGE,6250.0,720-724,9.0,11626.0,0.0,< 1 year,10.16,720,75000.0,0
6000,6000.0,12.12%,36,debt_consolidation,4.94,WI,MORTGAGE,4333.33,690-694,12.0,9656.0,2.0,5 years,12.12,690,51999.96,0
2200,2200.0,13.49%,36,debt_consolidation,3.27,WA,OWN,6666.67,700-704,2.0,10142.0,0.0,5 years,13.49,700,80000.04,2
5000,5000.0,14.27%,36,debt_consolidation,17.0,FL,OWN,5000.0,670-674,9.0,14748.0,3.0,1 year,14.27,670,60000.0,2
12000,12000.0,19.69%,60,debt_consolidation,16.23,NV,RENT,3376.0,665-669,12.0,8437.0,1.0,4 years,19.69,665,40512.0,3
3000,3000.0,7.90%,36,credit_card,22.03,PA,MORTGAGE,5583.33,705-709,15.0,12968.0,0.0,3 years,7.9,705,66999.96,0
30000,30000.0,21.49%,60,debt_consolidation,16.89,NY,MORTGAGE,13999.17,700-704,14.0,61579.0,0.0,10+ years,21.49,700,167990.04,0
10800,10800.0,12.12%,36,debt_consolidation,26.7,NJ,RENT,5833.33,695-699,6.0,27585.0,0.0,5 years,12.12,695,69999.96,3
10500,10500.0,18.25%,36,debt_consolidation,11.52,GA,MORTGAGE,8750.0,660-664,15.0,9984.0,3.0,8 years,18.25,660,105000.0,0
10000,10000.0,6.62%,36,debt_consolidation,5.49,CA,MORTGAGE,10833.33,755-759,5.0,40827.0,0.0,7 years,6.62,755,129999.96,0
24000,23950.0,12.12%,36,debt_consolidation,26.68,TX,MORTGAGE,5791.67,715-719,13.0,34104.0,0.0,10+ years,12.12,715,69500.04,0
16000,16000.0,14.09%,36,debt_consolidation,2.85,CA,MORTGAGE,3333.33,690-694,6.0,3909.0,0.0,7 years,14.09,690,39999.96,0
15000,15000.0,13.99%,36,debt_consolidation,12.6,MI,MORTGAGE,3500.0,705-709,7.0,13036.0,1.0,10+ years,13.99,705,42000.0,0
9500,9500.0,21.98%,36,other,16.01,PA,RENT,4500.0,660-664,7.0,3673.0,1.0,3 years,21.98,660,54000.0,3
35000,35000.0,19.05%,36,debt_consolidation,15.75,FL,MORTGAGE,18750.0,690-694,21.0,73813.0,1.0,4 years,19.05,690,225000.0,0
5000,5000.0,7.90%,36,debt_consolidation,21.82,TX,MORTGAGE,4166.67,725-729,8.0,15502.0,1.0,n/a,7.9,725,50000.04,0
15000,15000.0,11.71%,36,debt_consolidation,11.7,FL,RENT,6250.0,700-704,6.0,6622.0,0.0,6 years,11.71,700,75000.0,3
5000,5000.0,15.31%,36,debt_consolidation,17.37,GA,RENT,1750.0,675-679,3.0,10361.0,0.0,< 1 year,15.31,675,21000.0,3
19000,18975.0,11.14%,36,debt_consolidation,19.83,CA,RENT,4548.83,775-779,12.0,33809.0,1.0,5 years,11.14,775,54585.96,3
11625,11625.0,15.80%,36,debt_consolidation,31.12,OK,RENT,2860.0,680-684,14.0,8374.0,2.0,7 years,15.8,680,34320.0,3
25000,25000.0,7.62%,36,wedding,13.45,NY,RENT,6750.0,750-754,16.0,17193.0,0.0,5 years,7.62,750,81000.0,3
8000,8000.0,12.69%,36,debt_consolidation,7.67,AL,OWN,7916.67,685-689,4.0,1442.0,0.0,6 years,12.69,685,95000.04,2
9800,9675.0,8.59%,36,major_purchase,14.99,HI,MORTGAGE,3583.33,760-764,12.0,5164.0,0.0,3 years,8.59,760,42999.96,0
6000,5975.0,8.00%,36,wedding,1.06,NY,RENT,5000.0,765-769,6.0,7161.0,0.0,3 years,8.0,765,60000.0,3
10200,10200.0,12.42%,36,debt_consolidation,17.86,CO,MORTGAGE,5833.33,705-709,9.0,9817.0,2.0,4 years,12.42,705,69999.96,0
10500,10500.0,6.62%,36,medical,16.26,OK,MORTGAGE,4853.33,760-764,9.0,2816.0,1.0,3 years,6.62,760,58239.96,0
5000,5000.0,7.90%,36,small_business,7.75,IL,MORTGAGE,5500.0,725-729,11.0,16396.0,3.0,< 1 year,7.9,725,66000.0,0
17500,17500.0,7.90%,36,small_business,7.97,CA,RENT,5416.67,810-814,4.0,17.0,0.0,< 1 year,7.9,810,65000.04,3
4000,4000.0,19.03%,36,other,10.56,CA,RENT,1600.0,685-689,2.0,299.0,0.0,6 years,19.03,685,19200.0,3
22000,22000.0,12.12%,36,debt_consolidation,16.93,NY,RENT,3916.67,715-719,4.0,22142.0,0.0,1 year,12.12,715,47000.04,3
5000,4900.0,5.79%,36,other,9.18,NY,RENT,5520.0,750-754,10.0,7351.0,0.0,7 years,5.79,750,66240.0,3
8000,8000.0,16.29%,36,credit_card,29.19,IL,MORTGAGE,6916.67,685-689,14.0,21498.0,2.0,4 years,16.29,685,83000.04,0
19125,19125.0,18.49%,60,other,29.1,GA,RENT,4166.67,700-704,14.0,28108.0,3.0,6 years,18.49,700,50000.04,3
16000,16000.0,12.12%,36,debt_consolidation,18.23,NY,RENT,4166.67,700-704,14.0,16309.0,0.0,1 year,12.12,700,50000.04,3
4500,4500.0,14.59%,36,vacation,17.35,NY,OWN,6000.0,660-664,18.0,5197.0,4.0,2 years,14.59,660,72000.0,2
5800,5800.0,22.45%,60,other,11.86,CA,RENT,1416.67,665-669,3.0,6077.0,2.0,6 years,22.45,665,17000.04,3
10000,525.0,14.70%,36,credit_card,6.37,FL,RENT,5416.67,645-649,4.0,2211.0,6.0,< 1 year,14.7,645,65000.04,3
16750,16750.0,18.75%,36,debt_consolidation,8.84,FL,MORTGAGE,5666.67,680-684,8.0,13567.0,1.0,4 years,18.75,680,68000.04,0
3600,3600.0,12.12%,36,debt_consolidation,27.16,CA,OWN,3333.33,695-699,15.0,12153.0,1.0,10+ years,12.12,695,39999.96,2
10000,10000.0,15.62%,36,debt_consolidation,12.19,NY,RENT,7500.0,670-674,12.0,17133.0,1.0,10+ years,15.62,670,90000.0,3
6000,6000.0,5.42%,36,vacation,1.51,MD,OWN,4250.0,800-804,14.0,1838.0,0.0,10+ years,5.42,800,51000.0,2
10000,10000.0,7.62%,36,medical,13.26,MN,MORTGAGE,7416.67,735-739,12.0,16297.0,2.0,10+ years,7.62,735,89000.04,0
10000,10000.0,17.77%,36,credit_card,5.8,CO,RENT,7166.67,685-689,3.0,15279.0,1.0,10+ years,17.77,685,86000.04,3
5000,5000.0,7.49%,36,home_improvement,16.45,VA,MORTGAGE,18750.0,745-749,10.0,129071.0,0.0,10+ years,7.49,745,225000.0,0
35000,34950.0,23.76%,60,debt_consolidation,24.22,NY,RENT,7331.25,665-669,16.0,28687.0,2.0,4 years,23.76,665,87975.0,3
7000,7000.0,7.90%,36,wedding,20.72,CT,RENT,6000.0,715-719,9.0,6659.0,0.0,< 1 year,7.9,715,72000.0,3
3000,1647.62,10.20%,36,major_purchase,0.33,CT,RENT,4583.33,800-804,3.0,37.0,0.0,< 1 year,10.2,800,54999.96,3
28000,28000.0,15.62%,36,debt_consolidation,5.7,GA,MORTGAGE,6250.0,695-699,6.0,11923.0,1.0,3 years,15.62,695,75000.0,0
15200,6800.0,15.58%,60,home_improvement,19.22,DC,MORTGAGE,12083.33,690-694,20.0,19712.0,2.0,2 years,15.58,690,144999.96,0
15775,15775.0,14.65%,36,other,3.37,NY,RENT,4000.0,710-714,11.0,4058.0,1.0,10+ years,14.65,710,48000.0,3
30000,22425.0,10.59%,36,home_improvement,8.15,MN,MORTGAGE,22916.67,765-769,13.0,1945.0,0.0,4 years,10.59,765,275000.04,0
3000,3000.0,9.91%,36,wedding,4.75,IL,OWN,4166.67,710-714,9.0,7321.0,3.0,6 years,9.91,710,50000.04,2
15350,15350.0,18.49%,36,debt_consolidation,15.09,GA,MORTGAGE,4400.0,670-674,7.0,12823.0,0.0,10+ years,18.49,670,52800.0,0
26500,26500.0,9.76%,60,small_business,17.19,NY,MORTGAGE,5416.67,785-789,13.0,9966.0,0.0,10+ years,9.76,785,65000.04,0
6400,6400.0,6.00%,60,home_improvement,3.09,FL,MORTGAGE,6250.0,695-699,5.0,241.0,0.0,3 years,6.0,695,75000.0,0
13200,13200.0,14.33%,36,debt_consolidation,28.75,CA,RENT,3833.33,695-699,9.0,8568.0,1.0,10+ years,14.33,695,45999.96,3
12000,12000.0,11.49%,36,debt_consolidation,17.73,CA,MORTGAGE,7300.0,705-709,9.0,38342.0,0.0,4 years,11.49,705,87600.0,0
4000,4000.0,6.03%,36,car,33.67,GA,MORTGAGE,7917.0,800-804,19.0,55123.0,1.0,10+ years,6.03,800,95004.0,0
2500,2500.0,6.62%,36,home_improvement,10.96,MD,MORTGAGE,6166.67,730-734,14.0,24495.0,0.0,10+ years,6.62,730,74000.04,0
28000,27925.0,18.55%,36,debt_consolidation,8.99,LA,MORTGAGE,6666.67,700-704,6.0,14189.0,2.0,n/a,18.55,700,80000.04,0
9000,8975.0,8.90%,36,debt_consolidation,7.33,CA,RENT,12500.0,730-734,4.0,12964.0,0.0,5 years,8.9,730,150000.0,3
6600,6600.0,6.03%,36,home_improvement,16.69,NC,MORTGAGE,6250.0,750-754,14.0,17258.0,0.0,10+ years,6.03,750,75000.0,0
27050,27050.0,17.27%,60,credit_card,27.59,WA,MORTGAGE,5025.0,705-709,13.0,40037.0,1.0,10+ years,17.27,705,60300.0,0
4800,4800.0,15.99%,36,major_purchase,0.0,IL,RENT,4583.33,675-679,2.0,0.0,0.0,6 years,15.99,675,54999.96,3
7550,7550.0,10.16%,36,debt_consolidation,3.83,CA,MORTGAGE,8333.33,710-714,10.0,10204.0,0.0,2 years,10.16,710,99999.96,0
10000,10000.0,7.74%,36,debt_consolidation,0.17,OR,MORTGAGE,7083.33,775-779,9.0,2994.0,0.0,10+ years,7.74,775,84999.96,0
12500,12275.0,11.26%,36,credit_card,12.21,TX,RENT,4333.33,730-734,6.0,12568.0,2.0,8 years,11.26,730,51999.96,3
27575,27575.0,19.05%,36,debt_consolidation,19.3,WI,RENT,5166.67,660-664,6.0,14935.0,1.0,10+ years,19.05,660,62000.04,3
20000,20000.0,13.11%,36,debt_consolidation,3.94,IL,MORTGAGE,7238.92,720-724,6.0,11751.0,3.0,10+ years,13.11,720,86867.04,0
15000,14900.0,14.61%,36,major_purchase,9.17,TX,RENT,3000.0,730-734,8.0,0.0,2.0,< 1 year,14.61,730,36000.0,3
18000,18000.0,8.90%,36,home_improvement,12.79,NV,MORTGAGE,10500.0,730-734,15.0,4856.0,2.0,< 1 year,8.9,730,126000.0,0
5400,5375.0,8.90%,36,small_business,6.27,OH,RENT,3000.0,785-789,2.0,90.0,2.0,n/a,8.9,785,36000.0,3
23000,22950.0,15.81%,36,credit_card,16.02,CA,RENT,7083.33,695-699,8.0,9664.0,2.0,4 years,15.81,695,84999.96,3
8000,7950.0,5.79%,36,home_improvement,19.65,FL,OWN,5833.33,770-774,8.0,0.0,0.0,3 years,5.79,770,69999.96,2
3000,2950.0,12.69%,36,debt_consolidation,4.25,SC,OWN,1200.0,705-709,4.0,1643.0,0.0,< 1 year,12.69,705,14400.0,2
7200,7200.0,6.92%,36,credit_card,11.72,RI,MORTGAGE,7083.33,780-784,6.0,15933.0,1.0,3 years,6.92,780,84999.96,0
15350,15350.0,15.80%,36,credit_card,7.41,CO,MORTGAGE,5666.67,670-674,6.0,8128.0,0.0,1 year,15.8,670,68000.04,0
6000,6000.0,12.12%,36,wedding,21.21,GA,RENT,3333.33,685-689,8.0,4638.0,0.0,2 years,12.12,685,39999.96,3
15000,8081.65,13.16%,36,debt_consolidation,13.16,GA,MORTGAGE,2583.33,755-759,3.0,4923.0,2.0,9 years,13.16,755,30999.96,0
5000,5000.0,12.68%,60,moving,12.59,NY,RENT,4416.67,690-694,13.0,7686.0,0.0,< 1 year,12.68,690,53000.04,3
2575,2575.0,6.76%,36,educational,4.8,MA,RENT,6875.0,760-764,6.0,4678.0,2.0,3 years,6.76,760,82500.0,3
1800,1800.0,13.67%,36,vacation,24.21,NY,RENT,4250.0,670-674,11.0,5757.0,0.0,5 years,13.67,670,51000.0,3
10000,10000.0,14.09%,36,other,26.44,WA,MORTGAGE,5416.67,700-704,6.0,18652.0,1.0,6 years,14.09,700,65000.04,0
7750,7750.0,10.74%,36,debt_consolidation,6.51,UT,MORTGAGE,2916.67,705-709,5.0,6889.0,0.0,6 years,10.74,705,35000.04,0
12000,12000.0,16.29%,36,debt_consolidation,28.76,CT,RENT,5666.67,660-664,21.0,16822.0,2.0,3 years,16.29,660,68000.04,3
10000,10000.0,6.03%,36,debt_consolidation,16.0,KY,MORTGAGE,8333.33,780-784,11.0,14832.0,0.0,10+ years,6.03,780,99999.96,0
4950,4950.0,13.67%,36,debt_consolidation,14.11,CA,MORTGAGE,4166.67,665-669,15.0,8379.0,0.0,5 years,13.67,665,50000.04,0
8400,8350.0,6.03%,36,medical,15.34,WA,MORTGAGE,3200.0,760-764,6.0,10576.0,0.0,n/a,6.03,760,38400.0,0
3500,3500.0,12.12%,36,other,17.82,CA,MORTGAGE,5416.67,695-699,15.0,4067.0,3.0,< 1 year,12.12,695,65000.04,0
12000,12000.0,16.29%,36,credit_card,18.37,TX,MORTGAGE,7083.33,665-669,16.0,16993.0,2.0,7 years,16.29,665,84999.96,0
18000,18000.0,22.47%,60,credit_card,17.17,OH,MORTGAGE,5562.92,660-664,13.0,14866.0,3.0,7 years,22.47,660,66755.04,0
14675,14650.0,12.99%,60,debt_consolidation,29.18,FL,RENT,3167.0,725-729,7.0,21088.0,1.0,6 years,12.99,725,38004.0,3
13000,13000.0,14.09%,36,credit_card,16.09,CT,RENT,3250.0,675-679,6.0,6930.0,0.0,2 years,14.09,675,39000.0,3
15000,15000.0,13.11%,36,debt_consolidation,33.12,NY,RENT,4166.67,695-699,10.0,13198.0,0.0,9 years,13.11,695,50000.04,3
8250,8205.63,9.32%,36,credit_card,24.45,OH,MORTGAGE,3300.0,755-759,17.0,29576.0,2.0,8 years,9.32,755,39600.0,0
6900,6900.0,14.09%,36,credit_card,17.78,AR,OWN,4166.67,685-689,9.0,9720.0,1.0,10+ years,14.09,685,50000.04,2
35000,35000.0,20.49%,60,debt_consolidation,12.54,PA,MORTGAGE,10416.67,685-689,14.0,26487.0,4.0,2 years,20.49,685,125000.04,0
25000,23995.24,10.62%,36,debt_consolidation,12.21,VA,RENT,11166.67,750-754,6.0,28556.0,0.0,7 years,10.62,750,134000.04,3
9600,9600.0,11.14%,36,debt_consolidation,20.58,NV,MORTGAGE,3833.33,705-709,9.0,44403.0,1.0,5 years,11.14,705,45999.96,0
9000,8975.0,6.62%,36,debt_consolidation,17.11,NY,MORTGAGE,6750.0,755-759,7.0,12553.0,2.0,7 years,6.62,755,81000.0,0
6500,6500.0,8.90%,36,credit_card,31.45,CO,MORTGAGE,6000.0,740-744,14.0,61865.0,2.0,< 1 year,8.9,740,72000.0,0
1750,1750.0,11.14%,36,credit_card,8.02,CA,RENT,1833.33,720-724,4.0,1838.0,0.0,2 years,11.14,720,21999.96,3
5000,5000.0,5.42%,36,wedding,23.15,OH,RENT,2833.33,750-754,7.0,4573.0,0.0,3 years,5.42,750,33999.96,3
6000,6000.0,15.80%,36,debt_consolidation,16.4,GA,RENT,2500.0,670-674,5.0,5892.0,1.0,4 years,15.8,670,30000.0,3
25000,25000.0,14.09%,36,debt_consolidation,19.13,CA,RENT,6083.33,700-704,19.0,14666.0,0.0,10+ years,14.09,700,72999.96,3
13000,13000.0,14.33%,36,debt_consolidation,11.08,MN,MORTGAGE,3358.33,690-694,7.0,6327.0,1.0,10+ years,14.33,690,40299.96,0
5875,5875.0,7.90%,36,other,14.75,NV,RENT,5416.67,720-724,15.0,2617.0,2.0,4 years,7.9,720,65000.04,3
5000,5000.0,16.29%,36,debt_consolidation,20.77,VA,RENT,4583.33,660-664,19.0,11991.0,1.0,6 years,16.29,660,54999.96,3
16000,7925.0,16.45%,60,debt_consolidation,16.66,MO,MORTGAGE,5500.0,680-684,6.0,6842.0,0.0,9 years,16.45,680,66000.0,0
12000,12000.0,9.62%,60,small_business,14.12,GA,MORTGAGE,6666.67,730-734,10.0,6969.0,1.0,4 years,9.62,730,80000.04,0
35000,35000.0,12.12%,36,debt_consolidation,19.9,FL,MORTGAGE,13933.33,720-724,18.0,24288.0,0.0,1 year,12.12,720,167199.96,0
4800,4775.0,5.79%,36,car,11.71,NJ,RENT,2800.0,735-739,6.0,9228.0,0.0,3 years,5.79,735,33600.0,3
6500,6500.0,11.11%,36,credit_card,13.98,WY,MORTGAGE,2253.0,680-684,11.0,7558.0,1.0,2 years,11.11,680,27036.0,0
25000,25000.0,13.06%,36,other,4.14,MI,MORTGAGE,11500.0,735-739,4.0,6578.0,0.0,< 1 year,13.06,735,138000.0,0
1000,1000.0,7.62%,36,debt_consolidation,5.59,MD,MORTGAGE,9333.33,785-789,6.0,350.0,4.0,2 years,7.62,785,111999.96,0
16000,16000.0,13.48%,36,debt_consolidation,15.17,KY,MORTGAGE,4166.67,700-704,6.0,1962.0,1.0,2 years,13.48,700,50000.04,0
7675,2275.0,15.13%,36,other,18.08,TX,MORTGAGE,11666.67,645-649,13.0,12578.0,0.0,9 years,15.13,645,140000.04,0
13600,13600.0,8.90%,36,debt_consolidation,10.94,WA,RENT,10000.0,720-724,15.0,18028.0,0.0,10+ years,8.9,720,120000.0,3
12000,12000.0,15.31%,36,debt_consolidation,32.91,CA,RENT,5500.0,680-684,21.0,13559.0,1.0,3 years,15.31,680,66000.0,3
15000,15000.0,10.37%,36,house,26.72,AL,MORTGAGE,5250.0,750-754,11.0,44850.0,1.0,10+ years,10.37,750,63000.0,0
7125,7125.0,18.49%,36,debt_consolidation,11.18,CT,MORTGAGE,5636.75,675-679,14.0,5383.0,2.0,8 years,18.49,675,67641.0,0
35000,34977.35,21.67%,60,house,14.25,CA,RENT,20833.33,675-679,12.0,79792.0,0.0,6 years,21.67,675,249999.96,3
11575,11575.0,13.11%,60,debt_consolidation,18.37,NY,MORTGAGE,3750.0,725-729,12.0,18790.0,1.0,10+ years,13.11,725,45000.0,0
5000,5000.0,7.40%,36,major_purchase,14.22,GA,RENT,6000.0,780-784,7.0,1751.0,0.0,6 years,7.4,780,72000.0,3
5000,5000.0,7.62%,36,debt_consolidation,3.04,NY,OWN,2500.0,735-739,5.0,4864.0,0.0,3 years,7.62,735,30000.0,2
5000,527.49,13.24%,36,debt_consolidation,13.28,NJ,RENT,4833.0,660-664,10.0,9816.0,0.0,4 years,13.24,660,57996.0,3
7000,7000.0,7.90%,36,debt_consolidation,12.61,VA,MORTGAGE,6250.0,720-724,13.0,19848.0,0.0,10+ years,7.9,720,75000.0,0
